,seller_state_,review_score_mean,ticket_medio,products_by_orders,dias_na_base,perc_atividade,inativo
313,21,4.545454545454546,160.39,1.05,85,20.0,0
314,21,4.333333333333333,89.13,1.0,31,9.68,0
315,21,4.333333333333333,921.89,1.0,515,2.33,0
316,14,3.943820224719101,295.66,1.25,395,23.29,0
317,7,5.0,113.69,1.0,1,100.0,0
318,21,5.0,39.42,1.0,1,100.0,1
319,7,5.0,501.15,1.0,110,2.73,0
320,21,2.2598425196850394,186.55,1.19,207,24.15,1
321,15,4.564102564102564,56.74,1.18,476,6.72,0
322,14,5.0,391.95,3.0,1,100.0,0
323,21,4.25,123.06,1.09,102,10.78,0
324,14,3.7777777777777777,111.85,1.0,179,5.03,0
325,7,5.0,112.8,1.0,59,3.39,0
326,21,5.0,185.34,1.0,63,6.35,0
327,19,3.7333333333333334,139.49,1.12,383,9.66,0
328,19,5.0,48.81,1.0,38,5.26,0
329,12,3.6666666666666665,1291.19,1.0,302,0.99,1
330,21,3.5,35.59,1.0,68,2.94,1
331,19,3.8,56.62,1.25,120,3.33,0
332,15,3.2,350.22,1.25,380,1.05,1
333,7,4.5,65.83,1.0,464,2.59,1
334,21,4.365853658536586,92.15,1.02,256,13.28,0
335,21,4.277777777777778,104.95,1.5,172,6.98,0
336,14,3.9175257731958757,183.91,1.09,462,17.53,0
337,7,5.0,78.32,1.0,1,100.0,0
338,7,3.9791666666666665,229.33,1.17,321,8.41,1
339,21,4.063063063063063,78.19,1.28,536,36.19,0
340,21,4.535714285714286,108.98,1.12,203,11.82,0
341,21,4.0769230769230775,159.01,1.17,141,7.8,1
342,21,3.75,205.22,1.0,98,8.16,1
343,21,5.0,167.17,1.0,71,2.82,0
344,21,3.259259259259259,174.33,1.35,163,11.04,1
345,21,5.0,146.2,1.0,57,3.51,0
346,21,1.0,166.71,1.0,1,100.0,1
347,21,5.0,97.21,1.0,37,8.11,1
348,21,4.454545454545454,32.86,1.22,99,9.09,1
349,21,4.281879194630872,213.61,1.24,285,32.63,0
350,21,3.8,336.57,1.0,126,3.97,0
351,9,4.5,234.47,1.0,31,6.45,0
352,21,4.315789473684211,109.21,1.31,525,9.33,0
353,21,4.333333333333333,707.57,1.22,481,5.2,0
354,21,5.0,53.47,1.0,1,100.0,0
355,21,3.9880179730404395,208.38,1.44,510,76.08,0
356,21,1.0,57.29,1.0,1,100.0,1
357,18,5.0,210.89,1.0,398,0.75,1
358,14,4.571428571428571,252.05,2.0,251,2.79,0
359,21,4.113924050632912,212.27,1.05,492,14.84,0
360,21,1.0,217.18,1.0,1,100.0,0
361,21,1.5,214.46,3.0,28,7.14,0
362,21,4.444444444444445,251.35,1.0,238,7.56,0
363,15,4.28,373.85,1.25,15,73.33,0
364,19,4.0,1277.16,4.0,1,100.0,1
365,21,4.1875,159.47,2.0,234,3.42,1
366,21,5.0,173.68,1.0,1,100.0,0
367,7,5.0,147.71,1.0,1,100.0,0
368,14,4.5,65.94,1.0,219,5.02,1
369,21,4.5,167.15,1.0,3,66.67,0
370,14,5.0,273.42,1.0,256,1.17,1
371,14,5.0,80.74,1.0,4,50.0,0
372,21,3.8372093023255816,204.76,1.05,434,8.53,0
373,21,5.0,619.98,2.0,32,9.38,1
374,21,4.25,75.91,1.14,24,25.0,0
375,21,3.7142857142857144,148.87,1.0,273,2.56,0
376,14,3.8653846153846154,104.79,1.68,526,5.7,0
377,7,1.0,26.98,1.0,1,100.0,1
378,21,4.385964912280702,200.75,1.42,519,7.32,0
379,21,2.5,29.42,1.0,1,100.0,1
380,21,3.9078341013824884,54.94,1.13,581,44.23,0
381,21,3.849740932642487,181.97,1.29,267,35.21,0
382,7,2.3333333333333335,72.29,1.0,71,4.23,0
383,21,4.0,157.29,1.0,329,6.38,0
384,21,4.666666666666667,59.61,1.5,20,10.0,1
385,21,4.174117647058823,194.38,1.12,582,43.13,0
386,21,3.5294117647058822,408.21,1.21,245,5.31,0
387,21,4.4375,273.36,1.33,570,4.21,0
388,2,4.5,210.33,1.0,24,16.67,0
389,21,4.5,194.86,1.0,14,14.29,0
390,7,4.305555555555555,335.96,3.0,327,3.67,1
391,21,5.0,204.76,1.0,1,100.0,1
392,14,4.181818181818182,149.67,1.1,36,22.22,1
393,14,5.0,153.89,1.4,96,5.21,0
394,7,3.6619718309859155,214.42,1.23,530,19.25,0
395,7,3.0,109.42,1.0,1,100.0,1
396,14,3.5,104.69,1.5,24,16.67,1
397,21,3.6666666666666665,277.09,1.0,56,5.36,0
398,21,4.085714285714285,172.38,1.09,532,6.02,0
399,21,3.6543209876543212,127.36,1.21,525,12.57,0
400,18,4.090909090909091,76.15,1.0,278,3.96,0
401,21,4.0,125.07,1.11,185,4.86,0
402,21,3.96551724137931,168.55,1.03,316,8.23,0
403,21,3.8846153846153846,211.33,1.13,154,12.99,0
404,21,4.304347826086956,186.1,1.12,128,25.78,0
405,21,5.0,61.5,1.17,62,8.06,1
406,21,3.789473684210526,260.49,1.18,393,11.7,0
407,7,4.333333333333333,206.82,1.5,52,3.85,1
408,15,4.3428571428571425,404.9,1.0,36,55.56,0
409,21,1.0,894.4,1.0,3,66.67,1
410,21,3.8529411764705883,260.62,1.48,365,6.3,1
411,21,5.0,121.51,1.0,1,100.0,0
412,3,4.75,143.77,1.0,15,26.67,1
413,15,3.6666666666666665,214.57,1.0,40,7.5,0
414,21,4.5,45.04,1.0,98,2.04,1
415,11,5.0,412.12,1.0,1,100.0,1
416,21,3.9943181818181817,247.01,1.12,521,26.68,0
417,21,2.4,1301.74,1.0,243,2.06,0
418,21,3.75,213.98,1.33,470,0.64,0
