seller_state_,review_score_mean,ticket_medio,products_by_orders,dias_na_base,perc_atividade,inativo
21,5.0,54.9,1.0,260,1.54,1
19,4.236263736263736,205.25,1.14,474,24.89,0
19,5.0,97.0,1.0,1,100.0,1
21,3.59375,722.82,1.6,113,17.7,0
21,4.3,58.06,1.11,58,13.79,1
21,5.0,81.59,1.0,259,0.77,0
14,4.090909090909091,241.34,1.2,216,4.17,1
14,4.625,79.34,1.14,184,3.8,0
21,1.0,715.34,1.0,1,100.0,0
19,4.147826086956521,184.23,1.05,526,18.25,0
14,5.0,65.81,1.0,1,100.0,1
19,2.0,278.77,1.0,71,7.04,0
21,4.363636363636363,253.27,1.0,308,3.57,0
21,4.092307692307692,94.73,1.18,284,18.66,1
21,3.75,109.9,1.07,327,4.28,1
21,4.4375,177.02,1.1,331,7.85,0
21,4.569767441860465,80.25,1.1,561,12.3,0
21,4.888888888888889,116.62,1.0,282,3.19,0
19,3.6,864.89,1.67,100,3.0,1
21,4.201793721973094,88.99,1.12,314,43.31,0
21,4.545454545454546,160.39,1.05,85,20.0,0
21,4.333333333333333,89.13,1.0,31,9.68,0
21,4.333333333333333,921.89,1.0,515,2.33,0
14,3.943820224719101,295.66,1.25,395,23.29,0
7,5.0,113.69,1.0,1,100.0,0
21,5.0,39.42,1.0,1,100.0,1
7,5.0,501.15,1.0,110,2.73,0
21,2.2598425196850394,186.55,1.19,207,24.15,1
15,4.564102564102564,56.74,1.18,476,6.72,0
14,5.0,391.95,3.0,1,100.0,0
21,4.25,123.06,1.09,102,10.78,0
14,3.7777777777777777,111.85,1.0,179,5.03,0
7,5.0,112.8,1.0,59,3.39,0
21,5.0,185.34,1.0,63,6.35,0
19,3.7333333333333334,139.49,1.12,383,9.66,0
19,5.0,48.81,1.0,38,5.26,0
12,3.6666666666666665,1291.19,1.0,302,0.99,1
21,3.5,35.59,1.0,68,2.94,1
19,3.8,56.62,1.25,120,3.33,0
15,3.2,350.22,1.25,380,1.05,1
7,4.5,65.83,1.0,464,2.59,1
21,4.365853658536586,92.15,1.02,256,13.28,0
21,4.277777777777778,104.95,1.5,172,6.98,0
14,3.9175257731958757,183.91,1.09,462,17.53,0
7,5.0,78.32,1.0,1,100.0,0
7,3.9791666666666665,229.33,1.17,321,8.41,1
21,4.063063063063063,78.19,1.28,536,36.19,0
