,media_produtos_por_pedido,media_valor_pedido_sem_frete,dias_atividade,cluster
354,1.08,155.87,690,1
355,1.33,25.33,14,0
356,1.31,538.14,195,0
357,1.0,975.0,1,0
358,1.23,539.05,540,1
359,1.0,264.0,25,0
360,2.0,190.0,28,0
361,1.33,100.22,181,0
362,1.57,66.71,98,0
363,2.0,48.0,1,0
364,1.0,83.64,353,1
365,1.31,69.31,283,1
366,1.08,49.98,191,0
367,1.14,151.21,321,1
368,1.0,176.0,121,0
369,1.0,60.0,53,0
370,1.0,164.25,20,0
371,1.09,99.55,275,1
372,1.0,189.0,89,0
373,1.14,32.97,513,1
374,1.0,49.43,107,0
375,1.02,331.51,460,1
376,1.05,46.08,400,1
377,1.0,322.56,163,0
378,1.33,37.75,510,1
379,1.0,92.0,495,1
380,1.5,202.0,179,0
381,1.21,61.12,247,0
382,1.09,138.61,228,0
383,1.06,95.24,442,1
384,1.0,29.2,194,0
385,1.0,130.0,57,0
386,1.4,24.0,29,0
387,1.17,42.5,93,0
388,1.0,120.0,1,0
389,1.0,1399.0,147,2
390,1.0,739.33,58,0
391,1.17,137.58,155,0
392,1.0,235.5,277,1
393,1.19,445.2,350,1
394,1.06,90.55,348,1
395,1.25,99.51,267,1
396,1.08,181.29,240,0
397,1.25,72.5,194,0
398,1.0,313.5,319,1
399,1.0,90.0,1,0
400,1.0,103.75,96,0
401,1.0,57.0,85,0
402,1.12,136.15,105,0
403,1.0,86.5,19,0
404,1.08,109.05,626,1
405,1.03,92.81,217,0
406,1.0,76.33,38,0
407,1.1,135.1,267,1
408,1.27,146.99,572,1
409,1.05,183.98,524,1
410,1.0,48.08,143,0
411,1.0,133.0,83,0
412,1.0,1211.0,100,2
413,1.04,193.6,677,1
414,1.0,24.83,147,0
415,1.19,45.66,520,1
416,1.0,163.67,33,0
417,1.17,76.03,689,1
418,1.0,521.67,50,0
419,1.0,816.0,85,0
420,1.0,40.0,291,1
421,1.18,89.75,498,1
422,1.0,241.67,82,0
423,1.07,46.95,181,0
424,1.0,66.33,85,0
425,1.0,89.0,1,0
426,1.0,58.43,83,0
427,1.0,610.91,474,1
428,1.12,27.88,475,1
429,1.0,75.0,1,0
430,1.1,61.9,327,1
431,1.11,52.67,114,0
432,1.0,97.0,184,0
433,1.0,160.0,82,0
434,1.0,354.14,491,1
435,1.0,28.0,105,0
436,1.0,109.25,123,0
437,3.0,57.0,1,0
438,1.0,80.0,80,0
439,1.6,134.8,231,0
440,1.0,180.0,180,0
441,1.0,80.0,51,0
442,1.0,70.0,1,0
443,1.08,149.83,566,1
444,1.0,129.0,142,0
445,1.25,398.75,492,1
446,1.38,48.68,322,1
447,1.0,135.38,530,1
448,1.0,138.67,330,1
449,1.33,177.0,73,0
450,1.0,31.33,147,0
451,1.0,35.0,188,0
452,1.08,264.33,459,1
453,1.33,39.33,148,0
454,1.0,29.75,88,0
455,3.75,6018.75,449,2
456,1.15,37.92,579,1
457,1.0,52.0,28,0
458,1.02,190.69,268,1
459,1.0,81.5,74,0
460,1.0,594.5,8,0
461,1.0,54.14,105,0
462,1.0,112.11,473,1
463,1.04,101.15,412,1
464,1.0,19.0,1,0
465,1.0,120.0,1,0
466,1.32,45.27,308,1
467,1.16,428.58,267,1
468,1.0,47.18,325,1
469,1.0,148.88,350,1
470,1.22,117.78,251,0
471,1.06,201.29,245,0
472,2.0,167.33,31,0
473,1.03,167.39,551,1
474,1.0,70.0,174,0
475,1.25,111.25,219,0
476,1.5,40.25,123,0
477,1.0,300.0,33,0
478,1.0,22.0,1,0
479,1.15,164.67,212,0
480,1.0,28.0,1,0
481,1.0,33.0,130,0
482,1.0,446.0,1,0
483,1.0,186.93,456,1
484,1.06,152.36,467,1
485,1.0,29.4,150,0
486,1.5,157.0,10,0
487,1.0,198.42,236,0
488,1.19,76.33,308,1
489,1.0,75.0,1,0
490,1.0,26.0,56,0
491,1.1,80.87,424,1
492,1.0,96.0,58,0
493,1.0,7.0,1,0
494,1.05,150.79,209,0
495,1.06,77.29,405,1
496,1.0,379.33,228,0
497,1.04,743.83,206,0
498,1.08,47.85,582,1
499,1.2,65.0,473,1
500,1.04,66.2,305,1
501,1.0,644.78,184,0
502,1.07,48.6,137,0
503,1.35,110.96,301,1
504,1.05,40.08,182,0
505,1.24,77.64,694,1
506,1.11,61.17,442,1
507,1.0,97.32,258,0
508,2.0,100.14,141,0
509,1.0,145.0,1,0
